[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1521632929.324000 3/21/2018, 12:48:49 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, GrowthLiquid
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, ice
INFO, COMMENT, 
INFO, SEQUENCE FILE: tempscan.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1521638371.190,,1.000000e+002,1.147265e+002,6.119346e-004,0.000000e+000,3,9.925036e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.882019e-001,0.000000e+000,0,,0,
1521638517.635,,1.000000e+002,1.096236e+002,6.406337e-004,0.000000e+000,3,9.929104e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,7.929993e-002,0.000000e+000,0,,0,
1521638659.254,,1.000000e+002,1.047363e+002,6.674671e-004,0.000000e+000,3,9.912851e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.940994e-001,0.000000e+000,0,,0,
1521638801.882,,1.000000e+002,9.981895e+001,6.995539e-004,0.000000e+000,3,9.912343e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.286240e-001,0.000000e+000,0,,0,
1521638943.897,,1.000000e+002,9.480042e+001,7.327586e-004,0.000000e+000,3,9.914988e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.314621e-001,0.000000e+000,0,,0,
1521639087.906,,1.000000e+002,8.981141e+001,7.718249e-004,0.000000e+000,3,9.916143e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.306763e-001,0.000000e+000,0,,0,
1521639231.415,,1.000000e+002,8.485625e+001,8.129870e-004,0.000000e+000,3,9.919559e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.884155e-001,0.000000e+000,0,,0,
1521639375.800,,1.000000e+002,7.987119e+001,8.590620e-004,0.000000e+000,3,9.919255e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.100922e-001,0.000000e+000,0,,0,
1521639519.872,,1.000000e+002,7.487460e+001,9.111101e-004,0.000000e+000,3,9.919709e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,8.118439e-002,0.000000e+000,0,,0,
1521639663.097,,1.000000e+002,6.981835e+001,9.691425e-004,0.000000e+000,3,9.918290e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,7.145691e-002,0.000000e+000,0,,0,
1521639806.807,,1.000000e+002,6.482485e+001,1.036742e-003,0.000000e+000,3,9.924161e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,3.521729e-002,0.000000e+000,0,,0,
1521639950.218,,1.000000e+002,5.980736e+001,1.111410e-003,0.000000e+000,3,9.925244e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,9.677887e-003,0.000000e+000,0,,0,
1521640091.502,,1.000000e+002,5.484503e+001,1.197527e-003,0.000000e+000,3,9.920749e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,8.281708e-003,0.000000e+000,0,,0,
1521640247.954,,1.000000e+002,4.996741e+001,1.290832e-003,0.000000e+000,3,9.911418e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,3.192139e-002,0.000000e+000,0,,0,
1521640386.947,,1.000000e+002,4.495133e+001,1.422709e-003,0.000000e+000,3,9.917685e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,2.059937e-003,0.000000e+000,0,,0,
1521640521.074,,1.000000e+002,3.997876e+001,1.567734e-003,0.000000e+000,3,9.914670e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.670837e-003,0.000000e+000,0,,0,
1521640650.279,,1.000000e+002,3.499812e+001,1.755885e-003,0.000000e+000,3,9.921780e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1521640774.944,,1.000000e+002,2.996891e+001,1.997616e-003,0.000000e+000,3,9.917632e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,9.803772e-004,0.000000e+000,0,,0,
1521640895.388,,1.000000e+002,2.510304e+001,2.307913e-003,0.000000e+000,3,9.919819e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.449585e-003,0.000000e+000,0,,0,
1521641033.566,,1.000000e+002,2.000084e+001,2.772871e-003,0.000000e+000,3,9.914492e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,3.320694e-003,0.000000e+000,0,,0,
1521641152.534,,1.000000e+002,1.500628e+001,3.470147e-003,0.000000e+000,3,9.916914e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,4.389763e-003,0.000000e+000,0,,0,
1521641269.653,,1.000000e+002,9.602594e+000,4.721075e-003,0.000000e+000,3,9.924860e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1521641400.197,,1.000000e+002,4.993214e+000,7.879390e-003,0.000000e+000,3,9.919316e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,2.583981e-003,0.000000e+000,0,,0,
